player_name,minutes,games,goals,npg,position,team_title,league,season,source,wc_goals,wc_apps,wc_starts,wc_shots_on,wc_adj_g90,wc_note
Haris Tabakovic,1743.0,28,8.833,8.833,F S,Borussia M.Gladbach,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4561,no_wc_data
Andrej Kramaric,2539.0,35,12.75,8.583,F M S,Hoffenheim,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,0,0,0.4519,wc:0G/0A in 2app
Chris Wood,2027.0,27,10.083,8.833,F S,Nottingham Forest,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,3,2,0.4477,wc:0G/2A in 3app
George Hirst,609.0,26,3.0,3.0,F S,Ipswich,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4433,no_wc_data
Romelu Lukaku,3047.0,39,15.0,12.0,F S,Napoli,Serie_A,"2026,2025,2024",understat+espn_wc2026,1,3,1,1,0.4431,wc:1G/1A in 3app
Michael Gregoritsch,897.0,20,4.333,3.75,F S,Augsburg,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.4347,wc:0G/1A in 2app
Brian Brobbey,2127.0,34,10.0,10.0,F S,Sunderland,EPL,"2026,2025,2024",understat+espn_wc2026,3,3,2,3,0.4231,wc:3G/0A in 3app
Marcus Rashford,1746.0,32,8.167,7.75,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,1,3,1,2,0.421,wc:1G/0A in 3app
Cyle Larin,1965.0,35,9.0,8.0,F S,Mallorca,La_liga,"2026,2025,2024",understat+espn_wc2026,2,3,2,4,0.4122,wc:2G/0A in 3app
Noah Okafor,1110.0,23,5.083,5.083,F M S,Leeds,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4121,no_wc_data
Maximilian Beier,1892.0,32,8.583,8.583,D F M S,Borussia Dortmund,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.4083,wc:0G/0A in 1app
Shuto Machino,1402.0,32,6.333,5.5,F M S,Borussia M.Gladbach,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4065,no_wc_data
Raúl Jiménez,2503.0,39,11.25,7.667,F S,Fulham,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,3,0.4045,wc:1G/0A in 2app
Rafael Leão,2148.0,34,9.583,8.417,F S,AC Milan,Serie_A,"2026,2025,2024",understat+espn_wc2026,1,3,0,1,0.4015,wc:1G/0A in 3app
Désiré Doué,1703.0,29,7.583,7.583,F M S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,3,2,4,0.4007,wc:1G/0A in 3app
Christian Pulisic,2095.0,34,9.25,8.0,F S,AC Milan,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,1,2,0.3974,wc:0G/1A in 2app
Dani Olmo,1873.0,33,8.25,7.417,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,3,1,0,0.3964,wc:0G/1A in 3app
Ismaila Sarr,2647.0,35,11.583,9.833,F M S,Crystal Palace,EPL,"2026,2025,2024",understat+espn_wc2026,3,3,3,5,0.3938,wc:3G/1A in 3app
Nadiem Amiri,2302.0,29,9.917,4.417,F M S,Mainz 05,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.3877,wc:0G/1A in 1app
Maxi Araújo,1634.0,25,7.0,7.0,M S,Atletico Madrid,La_liga,2026,custom+espn_wc2026,2,3,3,3,0.3856,custom+wc:2G/1A in 3app
Antoine Semenyo,3454.0,40,14.5,13.917,F M,"Bournemouth,Manchester City",EPL,"2026,2025,2024",understat+espn_wc2026,0,3,3,0,0.3778,wc:0G/0A in 3app
Breel Embolo,2097.0,33,8.75,8.75,F S,Rennes,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,3,3,3,0.3755,wc:1G/2A in 3app
Assan Ouédraogo,970.0,19,4.0,4.0,F M S,RasenBallsport Leipzig,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.3711,no_wc_data
Keito Nakamura,2936.0,35,12.0,12.0,F M S,Reims,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,3,3,2,0.3678,wc:1G/1A in 3app
Yan Diomande,1923.0,26,7.833,7.833,F M S,RasenBallsport Leipzig,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,3,3,0,0.3666,wc:0G/1A in 3app
Rayan,1252.0,17,5.0,5.0,M S,Bournemouth,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.3594,wc:0G/1A in 2app
Darwin Núñez,1256.0,33,5.0,5.0,F S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,2,0,0.3583,wc:0G/0A in 3app
Justin Kluivert,1569.0,27,6.167,3.667,M S,Bournemouth,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3537,wc:0G/0A in 1app
Adam Hlozek,2074.0,30,8.0,8.0,F M S,Hoffenheim,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.3472,wc:0G/0A in 3app
Cody Gakpo,2664.0,39,10.25,10.25,F M S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,2,3,3,5,0.3463,wc:2G/1A in 3app
Mikel Merino,1376.0,27,5.25,5.25,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,1,1,0.3434,wc:0G/0A in 3app
Eldor Shomurodov,1316.0,30,5.0,5.0,F M S,Roma,Serie_A,"2026,2025,2024",understat+espn_wc2026,1,3,3,2,0.3419,wc:1G/0A in 3app
Ibrahim Mbaye,840.0,21,3.167,3.167,F M S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,3,1,1,0.3393,wc:1G/0A in 3app
Nicolas Pepe,2258.0,36,8.5,7.333,F M S,Villarreal,La_liga,"2026,2025,2024",understat+espn_wc2026,2,3,2,2,0.3388,wc:2G/0A in 3app
Assane Diao,1197.0,17,4.5,4.5,M S,Como,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3383,wc:0G/0A in 1app
Gonçalo Guedes,1473.0,31,5.5,5.5,F M S,Real Sociedad,La_liga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.336,no_wc_data
Hakan Calhanoglu,1965.0,27,7.333,3.75,M S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.3359,wc:0G/0A in 2app
Rayan Philippe,1378.0,30,5.0,5.0,F M S,Hamburger SV,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.3266,wc:0G/1A in 2app
Endrick,919.0,20,3.333,2.75,F M S,Lyon,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,2,0,0,0.3264,wc:0G/0A in 2app
Leandro Trossard,2486.0,37,8.833,8.833,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,2,3,3,2,0.3198,wc:2G/0A in 3app
Dodi Lukebakio,3145.0,39,11.0,10.0,F M S,Sevilla,La_liga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.3148,wc:0G/0A in 1app
Evann Guessand,1652.0,27,5.583,5.583,M S,"Aston Villa,Crystal Palace",EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3042,wc:0G/0A in 1app
Matias Fernandez-Pardo,1930.0,29,6.333,5.167,F M S,Lille,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,3,0,0,0.2953,wc:0G/0A in 3app
Federico Viñas,2759.0,37,9.0,7.0,F M S,Real Oviedo,La_liga,"2026,2025,2024",understat+espn_wc2026,0,3,2,3,0.2936,wc:0G/0A in 3app
Nico Paz,2927.0,37,9.5,9.5,F M S,Como,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.2921,wc:0G/0A in 2app
Cédric Bakambu,826.0,24,2.583,2.583,F S,Real Betis,La_liga,"2026,2025,2024",understat+espn_wc2026,0,3,3,0,0.2814,wc:0G/0A in 3app
Kenan Yildiz,2868.0,39,8.75,8.167,F M S,Juventus,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.2746,wc:0G/0A in 3app
Iliman Ndiaye,2725.0,34,8.25,6.25,M,Everton,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,0,2,0.2725,wc:1G/2A in 2app
Bukayo Saka,2175.0,32,6.583,5.583,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,1,1,0.2724,wc:0G/2A in 3app
Che Adams,2396.0,37,7.25,7.25,F M S,Torino,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.2723,wc:0G/0A in 3app
Son Heung-Min,2319.0,33,7.0,6.0,F M S,Tottenham,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.2717,wc:0G/0A in 3app
Tajon Buchanan,1494.0,29,4.5,4.5,F M S,Villarreal,La_liga,"2026,2025,2024",understat+espn_wc2026,0,3,3,1,0.2711,wc:0G/0A in 3app
Nico Williams,1915.0,30,5.583,5.0,M S,Athletic Club,La_liga,"2026,2025,2024",understat+espn_wc2026,0,3,0,0,0.2624,wc:0G/0A in 3app
Ange-Yoan Bonny,1908.0,38,5.417,4.583,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.2555,wc:0G/0A in 3app
Anthony Gordon,2288.0,31,6.0,3.833,F M S,Newcastle United,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.236,wc:0G/0A in 2app
Ernest Nuamah,1144.0,25,3.0,3.0,F M S,Lyon,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.236,wc:0G/1A in 2app
Jordan Ayew,1922.0,34,5.0,4.0,F M S,"Crystal Palace,Leicester",EPL,"2026,2025,2024",understat+espn_wc2026,0,3,3,0,0.2341,wc:0G/0A in 3app
Gabriel Martinelli,1616.0,33,3.917,3.917,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,0,0,0.2181,wc:0G/0A in 2app
Santiago Giménez,861.0,17,2.083,2.083,F S,AC Milan,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,0,1,0.2177,wc:0G/0A in 2app
Oumar Diakité,1724.0,27,4.0,4.0,F S,Reims,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.2088,wc:0G/0A in 1app
Noni Madueke,1791.0,32,4.083,4.083,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,2,1,0.2052,wc:0G/0A in 3app
Jéremy Doku,1829.0,32,4.167,4.167,F M S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.205,wc:0G/0A in 2app
Simon Adingra,878.0,19,2.0,2.0,D F M S,Monaco,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.205,wc:0G/0A in 1app
Dan Ndoye,1777.0,29,3.917,3.083,F M S,Nottingham Forest,EPL,"2026,2025,2024",understat+espn_wc2026,0,3,2,4,0.1984,wc:0G/0A in 3app
